Id,CompanyName,LegalName,OrgType,Scale,Address,City,State,Country,Pincode,Lat,Lng,Website,Email,Phone,PAN,CIN,GST,DUNS,IndustryDomain,IndustrySubdomain,CoreExpertise
11,MISHRA DHATU NIGAM LIMITED,,,,"P.O.KANCHANBAGH,,HYDERABAD,Telangana,500058-India",,Telangana,,500058,,,https://midhani-india.in/,,9880498201,,,,,,,
12,DALMIA BHARAT SUGAR AND INDUSTRIES LIMITED,,,," DALMIAPURAM   TIRUCHIRAPALLI DIST,TIRUCHIRAPALLI,Tamil Nadu,621651-India",,Tamil Nadu,,621651,,,,,,,,,,,,
13,SUNDROP BRANDS LIMITED,,,,"31, SAROJINI DEVI ROAD,SECUNDERABAD,Telangana,500003-India",,Telangana,,500003,,,,,,,,,,,,
14,NAHAR INDUSTRIAL ENTERPRISES LIMITED,,,,"FOCAL POINT,LUDHIANA   PUNJAB-141 010,NA,Punjab,000000-India",,Punjab,,0,,,,,,,,,,,,
15,LEHAR FOOTWEARS LIMITED,,,,"A-243 (A) ROAD NO.6 ,   V.K.I. AREA,JAIPUR,Rajasthan,302013-India",,Rajasthan,,302013,,,,,,,,,,,,
16,CHATHA FOODS LIMITED,,,,"272, MOTA SINGH NAGAR,Jalandhar - I,Jalandhar,Punjab,144001-India",,Punjab,,144001,,,,,,,,,,,,
17,TRIVENI ENGINEERING AND INDUSTRIES LIMITED,,,,"A-44, Hosiery Complex,   Phase-II Extension,,Noida,Gautam Buddha Nagar,Uttar Pradesh,201305-India",,Uttar Pradesh,,201305,,,,,,,,,,,,
18,PRIME INDUSTRIES LIMITED,,,,"Master Chambers, 19,   Feroze Gandhi Market,ludhiana,Ludhiana,Punjab,141001-India",,Punjab,,141001,,,,,,,,,,,,
19,BALMER LAWRIE AND COMPANY LIMITED,,,,"21, NETAJI SUBHAS ROAD,,KOLKATA,Kolkata,West Bengal,700001-India",,West Bengal,,700001,,,,,,,,,,,,
20,OMNITEX INDUSTRIES (INDIA) LIMITED,,,,"'Sabnam House' Ground Floor, Plot No. A 15 /16,   Central Cross Road B, M.I.D.C. Andheri (,East),Mumbai,Mumbai City,Maharashtra,400093-India",,Maharashtra,,400093,,,,,,,,,,,,
21,MAFATLAL INDUSTRIES LIMITED,,,,"301-302, HERITAGE HORIZON, THIRD FLOOR,   OFF. C. G. ROAD, NAVRANGPURA,,AHMEDABAD,Ahmedabad,Gujarat,380009-India",,Gujarat,,380009,,,WWW.MAFATLALS.COM,,9718804936,,,,,,,
22,FORBES & COMPANY LIMITED,,,,"FORBES BUILDING, CHARANJIT RAI MARG,   FORT,  MUMBAI,MUMBAI,Maharashtra,400001-India",,Maharashtra,,400001,,,,,,,,,,,,
23,RELIANCE INDUSTRIES LIMITED,,,,"3 RD FLOORMAKER CHAMBER IV   222 NARIMAN POINT,MUMBAI,Maharashtra,400021-India",,Maharashtra,,400021,,,,,,,,,,,,
24,LE MERITE EXPORTS LIMITED,,,,"A-307, Boomerang,Chandivali Farm Road, Powai, Andheri (East),Mumbai,Mumbai,Maharashtra,400072-India",,Maharashtra,,400072,,,,,,,,,,,,
25,LOYAL TEXTILE MILLS LIMITED,,,,"21/4, Mill Street,,Kovilpatti,Tamil Nadu,628501-India",,Tamil Nadu,,628501,,,,,,,,,,,,
26,BHARAT TEXTILES & PROOFING INDUSTRIES LIMITED,,,,"994, SATHYAVEDU ROAD,T,SURAVALIKANDIGAI,   SIRUPUZHALPET (P),,GUMMIDIPOONDI,Tamil Nadu,601201-India",,Tamil Nadu,,601201,,,,,,,,,,,,
27,SUPER SALES INDIA LIMITED,,,,"34 A   KAMARAJ  ROAD,COIMBATORE,Tamil Nadu,641018-India",,Tamil Nadu,,641018,,,,,,,,,,,,
28,RSWM LIMITED,,,,"KHARIGRAM    P.O. GULABPURA,BHILWARA,Rajasthan,311021-India",,Rajasthan,,311021,,,,,,,,,,,,
29,K G DENIM LIMITED,,,,"THEN THIRUMALAI   COIMBATORE,COIMBATORE,Tamil Nadu,641302-India",,Tamil Nadu,,641302,,,,,,,,,,,,
30,RAYMOND LIMITED,,,,"PLOT NO 156/H NO 2VILLAGE ZADGAON,RATNAGIRI,Maharashtra,415612-India",,Maharashtra,,415612,,,,,,,,,,,,
31,J C T LIMITED,,,,"G.T. Road, Phagwara,Distt. Kapurthala,Phagwara,Kapurthala,Punjab,144401-India",,Punjab,,144401,,,,,,,,,,,,
32,SANGAM (INDIA) LIMITED,,,,"ATUN   CHITTORGARH ROAD,BHILWARA,Bhilwara,Rajasthan,311001-India",,Rajasthan,,311001,,,WWW.SANGAMGROUP.COM,,,,,,,,,
33,ARVIND LIMITED,,,,"NARODA   ROAD,AHMEDABAD,Gujarat,382345-India",,Gujarat,,382345,,,,,,,,,,,,
34,FRONTIER SPRINGS LIMITED.,,,,"25/4   KALPI ROAD RANIA,KANPUR DEHAT,Kanpur Dehat,Uttar Pradesh,209304-India",,Uttar Pradesh,,209304,,,,,9838072063,,,,,,,
35,EMPIRE INDUSTRIES LIMITED,,,,"414 SENAPATI BAPAT MARGLOWER PARLE,MUMBAI,Maharashtra,400013-India",,Maharashtra,,400013,,,,,9137667052,,,,,,,
36,THE RUBY MILLS LIMITED,,,,"RUBY HOUSE,   J. K. SAMANT MARG, DADAR,MUMBAI,Maharashtra,400028-India",,Maharashtra,,400028,,,WWW.RUBYMILLS.COM,,9820296644,,,,,,,
37,SKY INDUSTRIES LIMITED,,,,"C-58 TTC INDL AREATHANE BELAPUR ROAD   PAWANE,NAVI MUMBAI,Maharashtra,400705-India",,Maharashtra,,400705,,,,,,,,,,,,
38,ASAHI INDUSTRIES LIMITED,,,,"ECOMAX, MUSRANE,   TAL. WADA,,THANE,Maharashtra,421312-India",,Maharashtra,,421312,,,,,,,,,,,,
39,GRASIM INDUSTRIES LTD,,,,"BIRLAGRAM NAGDA,UJJAIN,Madhya Pradesh,456331-India",,Madhya Pradesh,,456331,,,,,,,,,,,,
40,RTS POWER CORPORATION LTD,,,,"56  NETAJI SUBHAS ROAD,KOLKATA,West Bengal,700001-India",,West Bengal,,700001,,,,,,,,,,,,
